TRAIL_NUMBER,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,MANAGING_ORG,SECURITY_ID,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,TERRA_MOTORIZED,SNOW_MOTORIZED,OBJECTID,GLOBALID,SHAPELEN
421,BLUE BUCK,TERRA,7599.004574,0,9.5,9.5,61704,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.776,NA,NA,64514,{B3954271-9C95-4A48-93B0-D9EF157DEAF6},0.1583852920
473,ROCK CREEK,TERRA,7643.004574,0,7.1,7.1,61704,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.750,NA,NA,64515,{3E9FF384-61F5-402D-8D8E-6FC7C97B284D},0.1415653060
475,CADY PASS,TERRA,7645.004574,0,10,10,61704,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.071,NA,NA,64516,{2335ECB7-BD8F-4533-9675-80F0E065F578},0.1516938590
485,TATOOSH BUTTES,TERRA,7657.004574,0,10.6,10.6,61704,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.581,NA,NA,64517,{3417199C-5DF1-43F8-BDEE-003FC795D6F6},0.1827763490
502.1,BILLY GOAT,TERRA,7676.004574,0,4.9,4.9,61704,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.649,NA,NA,64518,{59A602FB-2716-4591-A014-47711B43F04A},0.0458998410
508,MILTON MOUNTAIN,TERRA,7686.004574,0,9,9,61704,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.812,NA,NA,64519,{3ADEA1C4-0EB7-4016-8248-2CC0715FC12A},0.1022727410
484,MONUMENT CREEK,TERRA,7654.004574,0,25,25,61704,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.458,NA,NA,64520,{105EABE7-7F07-43EB-A167-BE405E6542DC},0.3992303200
481,DRIVEWAY BUTTE,TERRA,7651.004574,0,4,4,61704,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.070,NA,NA,64521,{4076F894-5D5C-4701-9575-75A617AAEE54},0.0738218550
480,W FORK METHOW,TERRA,7650.004574,0,8.3,8.3,61704,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.711,NA,NA,64522,{EE55A48C-CCF9-4574-A943-3AF47281B568},0.1642691380
476,CEDAR CREEK,TERRA,7646.004574,0,9.6,9.6,61704,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.872,NA,NA,64523,{6DEE70B7-F445-40F9-9135-5F27F0CCA621},0.1615715880
484.1,SHELLROCK,TERRA,7655.004574,0,4,4,61704,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.623,NA,NA,64524,{3B501B8D-4DE6-401B-ABD0-4E42DBA33FA7},0.0693799940
