OBJECTID,Id,Name,Type,ElevationGain,Duration,Features,Description,Notes,Surface,ActivityTags,RouteType,ImageURL,Symbol,ShapeSTLength
1,0,West Valley Community Park,1,,,,"Located adjacent to West Valley Middle and Junior High Schools, West Valley Community Park is the westernmost park in the City.  With a playground, large grassy areas, walking paths, and three rentable shelters, it is a very popular park.",,Paved,"Bike, Hike",Out & Back,wv.jpg,1,1205.127641
3,0,Franklin Park Pool Trail,1,,,,"This short trail circles the Franklin Park Pool, the city’s only public outdoor swimming pool that is open from during the summer months.",,,,,franklin.jpg,1,806.0163005
4,0,Franklin Park,1,,,,"Franklin Park, the number 1 used park according to our 2011 survey, is full of new construction.  Our local Rotary clubs have graciously donated funding to build a new pavilion (Sunrise Rotary), replace the playground that was demolished in 2011 (Downtown Rotary), ",,"Paved, Sidewalk","Bike, Hike",Out & Back,franklin.jpg,1,2763.030507
5,0,Franklin Park Chestnut,1,,,,"Franklin Park, the number 1 used park according to our 2011 survey, is full of new construction.  Our local Rotary clubs have graciously donated funding to build a new pavilion (Sunrise Rotary), replace the playground that was demolished in 2011 (Downtown Rotary), and add convenient shade structures on 2 corners of the playground area (Southwest Rotary).",,,,,franklin.jpg,1,450.9718769
6,0,Kissel Park,1,,,,"Emil Kissel Park is a multi-use park that attracts citizens from throughout the city for its 12 tennis courts, and also caters to the surrounding neighborhood with its walking path, basketball court, playground, and green space.",,Paved,"Bike, Hike",Loop,kissel.jpg,1,4301.727759
10,0,Randall Park Nature,2,,,,"Randall Park, ranked 2nd for overall usage in our 2011 Parks and Recreation Survey, is located south of Nob Hill Blvd, and north of Washington Avenue, between South 44th and 48th Avenues.  Randall Park is very popular with walkers, nature lovers, recreationists, and now Disc Golfers.  With the help of a $4000 grant from Yakama Legends Casino and $2000 in donations, Randall Park is now home to Yakima’s first Disc Golf Course.",,Gravel,Hike,Loop,randall.jpg,1,1862.803579
15,0,RANDALL PARK,1,,,,"Randall Park, ranked 2nd for overall usage in our 2011 Parks and Recreation Survey, is located south of Nob Hill Blvd, and north of Washington Avenue, between South 44th and 48th Avenues.  Randall Park is very popular with walkers, nature lovers, recreationists, and now Disc Golfers.  With the help of a $4000 grant from Yakama Legends Casino and $2000 in donations, Randall Park is now home to Yakima’s first Disc Golf Course.",,Paved,"Bike, Hike","Loop, Out & Back",randall.jpg,1,3858.254672
19,0,Walter Ortman Parkway,1,,,,"The new parkway travels through the park and continues east along the center islands of Willow Street, eventually connecting with the William O. Douglas Trail on 5th Avenue.",,"Sidewalk,Nature",Hike,Out & Back,ortman.jpg,1,2259.690794
21,0,Powerhouse Canal Pathway,1,,,,"The Powerhouse Canal Pathway is the first of its kind for the city of Yakima.  With initial construction beginning in 1996, and additional sections added throughout the years, the 2.5 mile pathway is a safe and popular trail for both recreation and an alternative means of non-motorized transportation.  The pathway begins at Chesterley Park and travels east to McGuinness Park where it intersects the Walter Ortmann Parkway.  ",,"Paved, gravel, sidewalk","Bike, Hike",Out & Back,powerhouse.jpg,1,13065.34304
22,0,N 44th Ave,2,,,,The 44th Ave Parkway connects Lincoln Avenue with the Neighborhoods of Uplands Way.,,Paved,"Bike, Hike",Out & Back,44.jpg,1,300.0000258
23,0,Rocky Top Guses Guly The Dump Loop,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,7059.048939
24,0,Rocky Top Entrance,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,3744.381532
25,0,Rocky Top Dumb & Dumber,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,12827.57439
26,0,Rocky Top Wholey Moses,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,3266.403158
27,0,Rocky Top Green Harvester,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,2165.390785
28,0,Rocky Top Orange Harvester,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,6444.775165
29,0,Rocky Top School N Tools,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,2947.836185
30,0,Rocky Top Bench,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,4007.308849
31,0,Rocky Top Heh Heh Heh Huh,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,4537.108433
32,0,Rocky Top TNT,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,2180.177113
33,0,Rocky Top Dynomite,2,,,,"The hike is special primarily because of the striking scenic vistas of the vast arid shrub-steppe portion of Eastern Washington it provides. This hike begins at the Rocky Top trailhead kiosk, but rather than following the most visible gravel path, this t",Map3,Nature,"Bike, Hike","Loop, Out & Back",rockytop.jpg,1,1476.0867
